#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF00352  83 16 Small_nucleolar_RNA_R21 Predicted;_PFOLD;_Moxon_SJ
RF00353  19 18 Small_nucleolar_RNA_snoR31/Z110/Z27 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00355  75 22 Small_nucleolar_RNA_snoR28 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00356  9 14 Small_nucleolar_RNA_R32/R81/Z41 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00357  104 62 Small_nucleolar_RNA_R44/J54/Z268_family Predicted;_PFOLD;_Moxon_SJ
RF00358  97 30 Small_nucleolar_RNA_Z101 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00359  89 22 Small_nucleolar_RNA_Z102/R77 Predicted;_PFOLD;_Moxon_SJ
RF00360  13 20 Small_nucleolar_RNA_Z107/R87 Predicted;_RNAfold;_Moxon_SJ,_Daub_J,_Gardner_PP
RF00361  99 16 Small_nucleolar_RNA_Z119 Predicted;_PFOLD;_Moxon_SJ
RF00362  47 34 Pospiviroid_RY_motif_stem_loop Published;_PMID:14500815
RF00363  71 14 mir-BART1_microRNA_precursor_family Published;_PMID:15118162
RF00364  43 18 mir-BART2_microRNA_precursor_family Published;_PMID:15118162
RF00365  67 14 mir-BHRF1-1_microRNA_precursor_family Published;_PMID:15118162
RF00366  66 14 mir-BHRF1-2_microRNA_precursor_family Published;_PMID:15118162
RF00367  66 12 mir-BHRF1-3_microRNA_precursor_family Published;_PMID:15118162
RF00368  84 36 sroB_RNA Predicted;_LocARNA
RF00369  162 16 sroC_RNA Predicted;_PFOLD
RF00370  87 14 sroD_RNA Predicted;_PFOLD
RF00371  93 12 sroE_RNA Predicted;_PFOLD
RF00372  162 8 sroH_RNA Predicted;_Barquist_L
RF00373  302 144 Archaeal_RNase_P Published;_PMID:9847214
RF00374  65 48 Gammaretrovirus_core_encapsidation_signal Published;_PMID:15003457
RF00375  100 264 HIV_primer_binding_site_(PBS) Predicted;_PFOLD
RF00376  85 148 HIV_gag_stem_loop_3_(GSL3) Predicted;_PFOLD
RF00377  111 54 Small_nucleolar_RNA_U6-53/MBII-28 Predicted;_RNAalifold_manual;_Daub_J
RF00378  109 66 Qrr_RNA Published;_PMID:15242645;_Moxon_SJ
#RF00379  135 216 ydaO/yuaA_leader Predicted;_Barrick_JE,_Breaker_RR
#RF00380  170 318 ykoK_leader Predicted;_Barrick_JE,_Breaker_RR
RF00381  37 28 Antizyme_RNA_frameshifting_stimulation_element Published;_PMID:15147837
RF00382  66 14 DnaX_ribosomal_frameshifting_element Published;_PMID:9300054
RF00383  35 12 Insertion_sequence_IS1222_ribosomal_frameshifting_element Published;_PMID:15126494
RF00384  45 22 Poxvirus_AX_element_late_mRNA_cis-regulatory_element Published;_PMID:10049834
RF00385  31 22 Infectious_bronchitis_virus_D-RNA Published;_PMID:11119581
RF00386  61 322 Enterovirus_5'_cloverleaf_cis-acting_replication_element Published;_PMID:11250909
RF00387  103 14 FGF-1_internal_ribosome_entry_site_(IRES) Published;_PMID:15314170
RF00388  104 16 Anti-Q_RNA Published;_PMID:14651627
RF00389  77 86 Bamboo_mosaic_virus_satellite_RNA_cis-regulatory_element Published;_PMID:12832220
RF00390  24 16 UPSK_RNA Published;_PMID:9223489
RF00391  132 118 RtT_RNA Published;_PMID:1840671;_Moxon_SJ
RF00392  53 14 Small_nucleolar_RNA_SNORA5 Predicted;_RNAFOLD;_Moxon_SJ
RF00393  75 12 Small_nucleolar_RNA_SNORA8 Predicted;_RNAFOLD;_Moxon_SJ
RF00394  81 16 Small_nucleolar_RNA_SNORA4 Predicted;_PFOLD;_Moxon_SJ
RF00396  135 104 Small_nucleolar_RNA_SNORA13 Predicted;_CMfinder
RF00397  136 40 Small_nucleolar_RNA_SNORA14 Predicted;_RNAFOLD;_Moxon_SJ
RF00398  138 48 Small_nucleolar_RNA_SNORA15 Predicted;_RNAFOLD;_Moxon_SJ
RF00399  67 12 Small_nucleolar_RNA_SNORA24 Predicted;_RNAFOLD;_Moxon_SJ
RF00400  127 56 Small_nucleolar_RNA_SNORA28 Predicted;_RNAFOLD
RF00401  81 36 Small_nucleolar_RNA_SNORA20 Predicted;_ILM;_Moxon_SJ
RF00402  129 64 Small_nucleolar_RNA_SNORA25 Predicted;_RNAFOLD;_Moxon_SJ
RF00403  134 66 Small_nucleolar_RNA_SNORA41 Predicted;_PFOLD;_Moxon_SJ
RF00404  136 48 Small_nucleolar_RNA_SNORA46 Predicted;_RNAFOLD;_Moxon_SJ
RF00405  132 58 Small_nucleolar_RNA_SNORA44 Predicted;_PFOLD;_Moxon_SJ
RF00406  71 44 Small_nucleolar_RNA_SNORA42/SNORA80_family Predicted;_RNAalifold
RF00407  137 32 Small_nucleolar_RNA_SNORA50 Predicted;_RNAalifold_manual;_Daub_J
RF00408  136 62 Small_nucleolar_RNA_SNORA1 Predicted;_PFOLD;_Moxon_SJ
RF00409  141 66 Small_nucleolar_RNA_SNORA7 Predicted;_PFOLD;_Moxon_SJ
RF00410  47 38 Small_nucleolar_RNA_SNORA2/SNORA34_family Predicted;_PFOLD;_Moxon_SJ
RF00411  134 76 Small_nucleolar_RNA_SNORA9 Predicted;_PFOLD;_Moxon_SJ
RF00412  49 12 Small_nucleolar_RNA_SNORA21 Predicted;_PFOLD
RF00413  132 72 Small_nucleolar_RNA_SNORA19 Predicted;_RNAFOLD;_Moxon_SJ
RF00414  135 66 Small_nucleolar_RNA_SNORA22 Predicted;_RNAFOLD;_Moxon_SJ
RF00415  75 24 Small_nucleolar_RNA_SNORA30/SNORA37_family Predicted;_RNAFOLD;_Moxon_SJ
RF00416  139 46 Small_nucleolar_RNA_SNORA43 Predicted;_RNAFOLD;_Moxon_SJ
RF00417  130 38 Small_nucleolar_RNA_SNORA56 Predicted;_RNAalifold_manual;_Daub_J
RF00418  137 44 Small_nucleolar_RNA_SNORA58 Predicted;_PFOLD
RF00419  135 46 Small_nucleolar_RNA_SNORA52 Predicted;_RNAFOLD;_Moxon_SJ
RF00420  133 54 Small_nucleolar_RNA_SNORA61 Predicted;_PFOLD;_Moxon_SJ
RF00421  47 20 Small_nucleolar_RNA_SNORA32 Predicted;_RNAFOLD;_Moxon_SJ
RF00422  131 50 Small_Cajal_body_specific_RNA_24 Predicted;_RNAFOLD;_Moxon_SJ
RF00423  130 52 Small_Cajal_body_specific_RNA_4 Predicted;_RNAFOLD;_Moxon_SJ
RF00424  188 78 Small_Cajal_body_specific_RNA_16 Predicted;_RNAFOLD;_Moxon_SJ
RF00425  133 64 Small_nucleolar_RNA_SNORA18 Predicted;_RNAFOLD;_Moxon_SJ
RF00426  128 48 Small_Cajal_body_specific_RNA_15 Predicted;_RNAFOLD;_Moxon_SJ
RF00427  126 40 Small_Cajal_body_specific_RNA_23 Predicted;_RNAFOLD;_Moxon_SJ
RF00428  132 54 Small_nucleolar_RNA_SNORA38 Predicted;_RNAFOLD;_Moxon_SJ
RF00429  141 56 Small_nucleolar_RNA_SNORA29 Predicted;_PFOLD;_Moxon_SJ
RF00430  63 12 Small_nucleolar_RNA_SNORA54 Predicted;_PFOLD;_Moxon_SJ
RF00431  136 62 Small_nucleolar_RNA_SNORA55 Predicted;_PFOLD;_Moxon_SJ
RF00432  59 20 Small_nucleolar_RNA_SNORA51 Predicted;_PFOLD;_Moxon_SJ
RF00433  153 16 Hsp90_cis-regulatory_element Published;_PMID:15347681
RF00434  59 36 Luteovirus_cap-independent_translation_element_(BTE) Published;_PMID:15351207
RF00435  85 28 Repression_of_heat_shock_gene_expression_(ROSE)_element Published;_PMID:11726689;_Griffiths-Jones_S
RF00436  21 62 UnaL2_LINE_3'_element Published;_PMID:15273327
RF00437  133 14 Hairy_RNA_localisation_element_(HLE) Published;_PMID:12743042
RF00438  131 60 Small_nucleolar_RNA_SNORA33 Predicted;_PFOLD;_Moxon_SJ
RF00439  86 24 Small_nucleolar_RNA_SNORD87 Predicted;_RNAalifold_manual;_Daub_J
RF00440  7 16 Small_nucleolar_RNA_SNORD37 Predicted;_Moxon_SJ
RF00441  199 14 Small_nucleolar_RNA_Z242 Predicted;_PFOLD;_Moxon_SJ
#RF00442  107 222 ykkC-yxkD_leader Predicted;_Barrick_JE,_Breaker_RR
RF00443  128 52 Small_nucleolar_RNA_SNORA27 Predicted;_RNAalifold_manual;_Daub_J
RF00444  151 40 PrrF_RNA Published;_PMID:15210934
RF00445  55 28 mir-399_microRNA_precursor_family Predicted;_PFOLD
RF00446  88 96 mir-133_microRNA_precursor_family Predicted;_PFOLD
RF00447  103 14 Voltage-gated_potassium-channel_Kv1.4_IRES Predicted;_RNAalifold
RF00448  218 16 Epstein-Barr_virus_nuclear_antigen_(EBNA)_IRES Predicted;_PFOLD
RF00449  280 38 HIF-1_alpha_IRES Predicted;_RNAFOLD;_Moxon_SJ
RF00451  98 54 mir-395_microRNA_precursor_family Predicted;_PFOLD
RF00452  115 26 mir-172_microRNA_precursor_family Predicted;_PFOLD;_Moxon_SJ
RF00453  21 10 Cardiovirus_cis-acting_replication_element_(CRE) Published;_PMID:10500216
RF00454  60 28 p27_cis-regulatory_element Predicted;_PFOLD;_Moxon_SJ
RF00455  87 38 mir-15_microRNA_precursor_family Predicted;_RNAFOLD
RF00456  61 38 mir-34_microRNA_precursor_family Predicted;_PFOLD
RF00457  204 46 Mnt_IRES Predicted;_PFOLD;_Moxon_SJ
RF00458  121 16 Cripavirus_internal_ribosome_entry_site_(IRES) Published;_PMID:11233983
RF00459  280 22 Mason-Pfizer_monkey_virus_packaging_signal Predicted;_PFOLD;_Moxon_SJ
RF00460  75 82 U1A_polyadenylation_inhibition_element_(PIE) Published;_PMID:15491147
RF00461  191 16 Vascular_endothelial_growth_factor_(VEGF)_IRES_A Published;_PMID:9774635
RF00462  23 14 APC_internal_ribosome_entry_site_(IRES) Published;_PMID:12034871
RF00463  128 14 Apolipoprotein_B_(apoB)_5'_UTR_cis-regulatory_element Published;_PMID:15157107
RF00464  81 50 mir-92_microRNA_precursor_family Predicted;_PFOLD
RF00465  37 42 Japanese_encephalitis_virus_(JEV)_hairpin_structure Published;_PMID:15113895
RF00467  31 46 Rous_sarcoma_virus_(RSV)_primer_binding_site_(PBS) Published;_PMID:15153244
RF00468  35 222 Hepatitis_C_virus_stem-loop_VII Predicted;_RNAalifold;_Griffiths-Jones_S
RF00469  31 222 Hepatitis_C_stem-loop_IV Predicted;_ILM;_Moxon_SJ
RF00470  85 68 Togavirus_5'_plus_strand_cis-regulatory_element Predicted;_PFOLD
RF00471  9 14 Small_nucleolar_RNA_snR48 Predicted;_ILM
RF00472  1 14 Small_nucleolar_RNA_snR55/Z10 Predicted;_Griffiths-Jones_S
RF00473  87 22 Small_nucleolar_RNA_snR54 Predicted;_Griffiths-Jones_S
RF00474  9 12 Small_nucleolar_RNA_snR57 Predicted;_Griffiths-Jones_S
RF00475  9 14 Small_nucleolar_RNA_snR69 Predicted;_PFOLD
RF00476  86 116 Small_nucleolar_RNA_snR61/Z1/Z11 Predicted;_Daub_J
RF00477  13 12 Small_nucleolar_RNA_snR66 Predicted;_Griffiths-Jones_S
RF00478  265 38 Small_Cajal_body_specific_RNA_6 Published;_PMID:12032087,_Daub_J
RF00479  9 16 Small_nucleolar_RNA_snR71 Predicted;_Moxon_SJ
RF00480  21 292 HIV_Ribosomal_frameshift_signal Published;_PMID:14747573
RF00481  73 46 Hepatitis_C_virus_3'X_element Published;_PMID:15452207
RF00482  65 18 Small_nucleolar_RNA_F1/F2/snoR5a Predicted;_PFOLD
RF00483  57 20 Insulin-like_growth_factor_II_IRES Published;_PMID:11903044
RF00484  67 14 Connexin-32_internal_ribosome_entry_site_(IRES) Published;_PMID:10931843
RF00485  49 172 Potassium_channel_RNA_editing_signal Published;_PMID:15361858;_Moxon_SJ
RF00486  51 14 mir-129_microRNA_precursor_family Predicted;_PFOLD
RF00487  115 30 Connexin-43_internal_ribosome_entry_site_(IRES) Published;_PMID:10618489
RF00488  157 12 Yeast_U1_spliceosomal_RNA Published;_PMID:2405391
RF00489  25 22 ctRNA Published;_PMID:15554980
RF00490  68 62 S-element Published;_PMID:15554980
RF00492  65 14 small_Cajal_body-specific_RNA_17 Published;PMID:15556860
RF00493  71 46 Small_nucleolar_RNA_U2-30 Published;PMID:15556860
RF00494  81 62 Small_nucleolar_RNA_U2-19 Published;PMID:15556860
RF00495  109 30 Heat_shock_protein_70_(Hsp70)_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD;_Moxon_SJ
RF00496  17 12 Coronavirus_SL-III_cis-acting_replication_element_(CRE) Published;_PMID:12767992
RF00498  46 16 Equine_arteritis_virus_leader_TRS_hairpin_(LTH) Published;_PMID:14970388
RF00499  87 12 Human_parechovirus_1_(HPeV1)_cis_regulatory_element_(CRE) Published;_PMID:12438643
RF00500  46 14 Turnip_crinkle_virus_(TCV)_repressor_of_minus_strand_synthesis_H5 Published;_PMID:15220455
RF00501  35 30 Rotavirus_cis-acting_replication_element_(CRE) Predicted;_Pfold;_Moxon_SJ
RF00502  35 12 Turnip_crinkle_virus_(TCV)_core_promoter_hairpin_(Pr) Published;_PMID:15220455
RF00503  287 24 RNAIII Published;_PMID:10836788
RF00504  45 90 Glycine_riboswitch Predicted;_Barrick_JE,_Breaker_RR
RF00505  67 14 RydC_RNA Published;_PMID:15618228
RF00506  119 54 Threonine_operon_leader Published;_PMID:6186194
RF00507  39 48 Coronavirus_frameshifting_stimulation_element Published;_PMID:15680415
RF00509  106 24 Small_nucleolar_RNA_snR64 Predicted;_Daub_J
RF00510  95 50 Tombusvirus_internal_replication_element_(IRE) Predicted;_PFOLD
RF00511  249 14 Kaposi's_sarcoma-associated_herpesvirus_internal_ribosome_entry_site_(IRES) Published;_PMID:11160685
RF00512  149 16 Leucine_operon_leader Published;_PMID:6186194
RF00513  101 48 Tryptophan_operon_leader Published;_PMID:6186194
RF00514  126 70 Histidine_operon_leader Published;_PMID:6186194
RF00515  115 116 PyrR_binding_site Published;_PMID:11726695
RF00516  67 8 ylbH_leader Predicted;_Barrick_JE
RF00517  53 144 serC_leader Predicted;_Barrick_JE
RF00518  315 16 speF_leader Predicted;_Barrick_JE
RF00519  77 182 suhB Predicted;_Barrick_JE
RF00520  91 16 ybhL_leader Predicted;_Barrick_JE
RF00521  80 84 SAM_riboswitch_(alpha-proteobacteria) Predicted;_Barrick_JE
RF00522  46 86 PreQ1_riboswitch Predicted;_Barrick_JE
RF00523  13 298 Prion_pseudoknot Published;_PMID:11160898
RF00524  83 32 R2_RNA_element Published;_PMID:15146081
RF00525  41 224 Flavivirus_DB_element Published;_PMID:15956576
RF00526  86 20 Small_nucleolar_RNA_Me28S-U3344 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00527  90 24 Small_nucleolar_RNA_Me28S-Gm3255 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00528  90 26 Small_nucleolar_RNA_Me28S-Gm1083 Predicted;_Daub_J
RF00529  110 36 Small_nucleolar_RNA_Me28S-Am2589 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00530  76 44 Small_nucleolar_RNA_Me28S-Cm2645 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00531  87 34 Small_nucleolar_RNA_Me28S-Gm3113 Predicted;_ILM;_Moxon_SJ,_Daub_J
RF00532  87 48 Small_nucleolar_RNA_Me18S-Um1356 Predicted;_ILM;_Moxon_SJ
RF00533  80 30 Small_nucleolar_RNA_Me18S-Gm1358 Predicted;_Daub_J
RF00534  233 20 SgrS_RNA Predicted;_RNAalifold
RF00535  81 30 Small_nucleolar_RNA_Me28S-Am982 Predicted;_Daub_J
RF00536  83 30 Small_nucleolar_RNA_Me28S-Cm3227 Predicted;_Daub_J
RF00537  98 40 Small_nucleolar_RNA_Me28S-Am2634 Predicted;_ILM;_Daub_J
RF00538  76 56 Small_nucleolar_RNA_CD11 Predicted;_ILM;_Daub_J
RF00539  76 14 Small_nucleolar_RNA_Me28S-Cm788 Predicted;_ILM;_Daub_J
RF00540  157 36 Small_nucleolar_RNA_psi18S-1854 Predicted;_ILM;_Moxon_SJ
RF00541  146 20 Small_nucleolar_RNA_psi28S-2876 Predicted;_PFOLD;_Moxon_SJ
RF00542  139 34 Small_nucleolar_RNA_psi28S-1192 Predicted;_ILM;_Moxon_SJ
RF00543  140 34 Small_nucleolar_RNA_psi18S-1377 Predicted;_RNAalifold
RF00544  144 32 Small_nucleolar_RNA_psi28S-3327 Predicted;_RNAFOLD;_Moxon_SJ
RF00545  146 52 Small_nucleolar_RNA_psi18S-841/snoR66 Predicted;_RNAFOLD;_Moxon_SJ
RF00546  134 70 Small_nucleolar_RNA_psi28S-3316 Predicted;_RNAFOLD;_Moxon_SJ
RF00547  353 36 TrkB_IRES Predicted;_RNAFOLD
RF00548  135 148 U11_spliceosomal_RNA Published;_PMID:15210936
RF00549  403 22 c-sis_internal_ribosome_entry_site_(IRES) Predicted;_ILM;_Moxon_SJ
RF00550  83 94 Hepatitis_E_virus_cis-reactive_element Published;_PMID:15890906
RF00551  321 32 Bicoid_3'-UTR_regulatory_element Published;_PMID:15016447
RF00552  216 40 rncO Published;_PMID:8972772
RF00553  167 62 Small_Cajal_body_specific_RNA_1 Predicted;_RNAalifold
RF00554  136 52 Small_nucleolar_RNA_SNORA48 Predicted;_RNAalifold
RF00555  61 56 Ribosomal_protein_L13_leader Predicted;_Barrick_JE,_CMFinder
RF00556  27 34 Ribosomal_protein_L19_leader Predicted;_Barrick_JE,_CMFinder
#RF00557  140 198 Ribosomal_protein_L10_leader Predicted;_CMFinder,_Barrick_JE,_Moy_RH
RF00558  129 90 Ribosomal_protein_L20_leader Predicted;_CMFinder,_Barrick_JE,_Moy_RH
RF00559  78 80 Ribosomal_protein_L21_leader Predicted;_CMFinder,_Barrick_JE,_Moy_RH
RF00560  133 110 Small_nucleolar_RNA_SNORA17 Predicted;_RNAalifold
RF00561  129 60 Small_nucleolar_RNA_SNORA40 Predicted;_RNAalifold
RF00562  136 46 Small_nucleolar_RNA_SNORA49 Predicted;_RNAalifold
RF00563  247 60 Small_nucleolar_RNA_SNORA53 Predicted;_RNAalifold
RF00564  141 52 Small_Cajal_body_specific_RNA_11 Predicted;_RNAalifold
RF00565  142 50 Small_Cajal_body_specific_RNA_3 Predicted;_RNAalifold
RF00566  129 62 Small_nucleolar_RNA_SNORA35 Predicted;_RNAalifold
RF00567  238 42 Small_nucleolar_RNA_SNORD17 Predicted;_RNAalifold
RF00568  123 156 Small_nucleolar_RNA_SNORA26 Predicted;_RNAalifold
RF00569  77 48 Small_nucleolar_RNA_SNORD19 Predicted;_RNAalifold_manual;_Daub_J
RF00570  68 38 Small_Nucleolar_RNA_SNORD64 Predicted;_RNAalifold
RF00571  74 56 Small_nucleolar_RNA_SNORD65 Predicted;_RNAalifold
RF00572  77 44 Small_nucleolar_RNA_SNORD66 Predicted;_RNAalifold
RF00573  112 34 Small_nucleolar_RNA_SNORD67 Predicted;_RNAalifold_manual;_Daub_J
RF00574  78 26 Small_nucleolar_RNA_SNORD69 Predicted;_RNAalifold_manual;_Daub_J
RF00575  89 46 Small_nucleolar_RNA_SNORD70 Predicted;_RNAalifold_manual;_Daub_J
RF00576  87 40 Small_nucleolar_RNA_SNORD71 Predicted;_RNAalifold
RF00577  81 36 Small_nucleolar_RNA_SNORD72 Predicted;_RNAalifold_manual;_Daub_J
RF00578  115 40 Small_nucleolar_RNA_SNORD89 Predicted;_RNAalifold
RF00579  112 40 Small_nucleolar_RNA_SNORD90 Predicted;_RNAalifold
RF00580  96 52 Small_nucleolar_RNA_SNORD91_family Predicted;_RNAalifold_manual;_Daub_J
RF00581  19 18 Small_nucleolar_SNORD12/SNORD106 Predicted;_RNAalifold,_Daub_J
RF00582  137 48 Small_Cajal_body_specific_RNA_14 Predicted;_RNAalifold
RF00584  88 34 Small_nucleolar_RNA_SNORD105 Predicted;_RNAalifold_manual;_Daub_J
RF00586  149 50 Small_nucleolar_RNA_SNORA12 Predicted;_RNAalifold
RF00588  71 44 Small_nucleolar_RNA_SNORD41 Predicted;_RNAalifold
RF00591  69 46 Small_nucleolar_RNA_SNORD77 Predicted;_RNAalifold
RF00592  66 42 Small_nucleolar_RNA_SNORD78 Predicted;_Daub_J
RF00593  95 46 Small_nucleolar_RNA_U83B Predicted;_RNAalifold_manual;_Daub_J
RF00594  61 14 Small_nucleolar_RNA_SNORD86 Predicted;_RNAalifold
RF00598  134 48 Small_nucleolar_RNA_SNORA76 Predicted;_RNAalifold
RF00599  126 42 Small_nucleolar_RNA_SNORA77 Predicted;_RNAalifold
RF00600  145 54 Small_nucleolar_RNA_SNORA79 Predicted;_RNAalifold
RF00601  67 12 Small_Cajal_body_specific_RNA_20 Predicted;_RNAalifold
RF00602  141 52 Small_Cajal_body_specific_RNA_21 Predicted;_RNAalifold;_Daub_J
RF00603  112 34 Small_nucleolar_RNA_SNORD23 Predicted;_Daub_J
RF00604  92 74 Small_nucleolar_RNA_SNORD88 Predicted;_RNAalifold;_Daub_J
RF00606  75 38 Small_nucleolar_RNA_SNORD93 Predicted;_RNAalifold;_Daub_J
RF00607  66 24 Small_nucleolar_RNA_SNORD98 Predicted;_Daub_J
RF00608  75 50 Small_nucleolar_RNA_SNORD99 Predicted;_RNAalifold;_Daub_J
RF00609  80 60 Small_nucleolar_RNA_SNORD100 Predicted;_RNAalifold;_Daub_J
RF00610  72 36 Small_nucleolar_RNA_SNORD110 Predicted;_Daub_J
RF00611  11 12 Small_nucleolar_RNA_SNORD111 Predicted;_RNAalifold;_Daub_J
RF00612  9 12 Small_nucleolar_RNA_SNORD75 Predicted;_RNAalifold;_Daub_J
RF00613  138 46 Small_nucleolar_RNA_SNORD94 Predicted;_RNAalifold;_Daub_J
RF00614  130 74 Small_nucleolar_RNA_SNORA11 Predicted;_RNAalifold
RF00615  270 24 Listeria_Hfq_binding_LhrA Published;_PMID:16682563
RF00616  113 28 Listeria_Hfq_binding_LhrC Published;_PMID:16682563
RF00617  17 120 flavivirus_capsid_hairpin_cHP Published;_PMID:16474125
RF00618  133 126 U4atac_minor_spliceosomal_RNA Published;_PMID:11911359
RF00619  127 128 U6atac_minor_spliceosomal_RNA Published;_PMID:11911359
RF00620  93 74 Hepatitis_C_alternative_reading_frame_stem-loop Predicted;_RNAalifold
RF00621  99 22 Beta-globin_co-transcriptional_cleavage_ribozyme Published;_PMID:15565159
RF00622  79 28 Mammalian_CPEB3_ribozyme Published;_PMID:16990549
RF00623  181 32 Pseudomonas_sRNA_P1 Predicted;_RNAalifold
RF00624  75 38 Pseudomonas_sRNA_P9 Predicted;_RNAalifold
RF00625  140 34 Pseudomonas_sRNA_P11 Predicted;_RNAalifold
RF00626  70 10 Gurken_localisation_signal Published;_PMID:15992540
RF00627  120 48 Pseudomonas_sRNA_P15 Predicted;_RNAalifold
RF00628  196 58 Pseudomonas_sRNA_P16 Predicted;_RNAalifold
RF00629  256 32 Pseudomonas_sRNA_P24 Predicted;_RNAalifold
RF00630  67 58 Pseudomonas_sRNA_P26 Predicted;_RNAalifold
RF00632  67 6 sxy_5'_UTR_element Published;_PMID:17981840
RF00634  117 84 S-adenosyl_methionine_(SAM)_riboswitch, Published;_PMID:18369181
RF00635  119 30 Highly_accelerated_region_1A/1B Published;_PMID:16915236;
RF00636  371 52 ncRNA_Repressor_of_NFAT_(nuclear_factor_of_activated_T_cells) Predicted;_Gardner_PP
RF00637  95 36 microRNA_mir-276 Predicted;_WAR
RF00638  197 136 microRNA_MIR159 Predicted;_WAR;_Wilkinson_A
RF00639  88 84 microRNA_mir-515 Predicted;_WAR;_Wilkinson_A
RF00640  112 94 microRNA_MIR167_1 Predicted;_WAR;_Wilkinson_A
RF00641  81 246 microRNA_mir-154 Predicted;_WAR;_Wilkinson_A
RF00642  76 48 microRNA_mir-23 Predicted;_WAR;_Wilkinson_A
RF00643  102 120 microRNA_MIR171_1 Predicted;_WAR;_Wilkinson_A
RF00644  84 68 microRNA_mir-27 Predicted;_WAR;_Wilkinson_A
#RF00645  116 220 microRNA_MIR169_2 Predicted;_WAR;_Wilkinson_A
RF00646  103 70 microRNA_mir-204 Predicted;_WAR;_Wilkinson_A
RF00647  106 102 microRNA_MIR164 Predicted;_WAR;_Wilkinson_A
RF00648  119 78 microRNA_MIR396 Predicted;_WAR;_Wilkinson_A
RF00649  85 40 microRNA_mir-128 Predicted;_WAR;_Wilkinson_A
RF00650  87 40 microRNA_mir-153 Predicted;_WAR;_Wilkinson_A
RF00651  71 100 microRNA_mir-221 Predicted;_WAR;_Wilkinson_A
RF00652  1 36 microRNA_MIR478 Predicted;_WAR;_Wilkinson_A
RF00653  89 30 microRNA_mir-22 Predicted;_WAR;_Wilkinson_A
RF00654  90 76 microRNA_mir-216 Predicted;_WAR;_Wilkinson_A
RF00655  87 62 microRNA_mir-28 Predicted;_WAR;_Wilkinson_A
RF00656  103 62 microRNA_mir-205 Predicted;_WAR;_Wilkinson_A
RF00657  85 70 microRNA_mir-184 Predicted;_WAR;_Wilkinson_A
RF00658  73 26 microRNA_mir-21 Predicted;_WAR;_Wilkinson_A
RF00659  94 22 microRNA_mir-365 Predicted;_WAR;_Wilkinson_A
RF00660  111 20 microRNA_mir-214 Predicted;_WAR;_Wilkinson_A
RF00661  82 86 microRNA_mir-31 Predicted;_WAR;_Wilkinson_A
RF00662  89 48 microRNA_mir-132 Predicted;_WAR;_Wilkinson_A
RF00663  103 36 microRNA_mir-183 Predicted;_WAR;_Wilkinson_A
RF00664  111 42 microRNA_mir-223 Predicted;_WAR;_Wilkinson_A
RF00665  84 58 microRNA_mir-290 Predicted;_WAR;_Wilkinson_A
RF00666  71 20 microRNA_mir-32 Predicted;_WAR;_Wilkinson_A
RF00667  70 104 microRNA_mir-33 Predicted;_WAR;_Wilkinson_A
RF00668  70 98 microRNA_mir-302 Predicted;_WAR;_Wilkinson_A
RF00669  79 54 microRNA_mir-96 Predicted;_WAR;_Wilkinson_A
RF00670  82 44 microRNA_mir-105 Predicted;_WAR;_Wilkinson_A
RF00671  84 54 microRNA_mir-138 Predicted;_WAR;_Wilkinson_A
RF00672  90 62 microRNA_mir-190 Predicted;_WAR;_Wilkinson_A
RF00673  107 58 microRNA_mir-217 Predicted;_WAR;_Wilkinson_A
RF00674  105 44 microRNA_mir-187 Predicted;_WAR;_Wilkinson_A
RF00675  89 30 microRNA_mir-145 Predicted;_WAR;_Wilkinson_A
RF00676  99 14 microRNA_mir-127 Predicted;_WAR;_Wilkinson_A
RF00677  193 24 microRNA_MIR168 Predicted;_WAR;_Wilkinson_A
RF00678  99 32 microRNA_mir-140 Predicted;_WAR;_Wilkinson_A
RF00679  97 56 microRNA_mir-210 Predicted;_WAR;_Wilkinson_A
RF00680  83 14 microRNA_mir-224 Predicted;_WAR;_Wilkinson_A
RF00681  63 10 microRNA_mir-198 Predicted;_WAR;_Wilkinson_A
RF00682  86 48 microRNA_mir-144 Predicted;_WAR;_Wilkinson_A
RF00683  107 40 microRNA_mir-143 Predicted;_WAR;_Wilkinson_A
RF00684  75 56 mir-122_microRNA_precursor Predicted;_RNAalifold
RF00685  104 96 microRNA_mir-36 Predicted;_WAR;_Wilkinson_A
RF00686  83 46 microRNA_mir-338 Predicted;_WAR;_Wilkinson_A
RF00687  83 8 microRNA_mir-136 Predicted;_WAR;_Wilkinson_A
RF00688  110 42 microRNA_MIR394 Predicted;_WAR;_Wilkinson_A
RF00689  124 36 microRNA_MIR390 Predicted;_WAR;_Wilkinson_A
RF00690  127 20 microRNA_MIR408 Predicted;_WAR;_Wilkinson_A
RF00691  92 70 microRNA_mir-146 Predicted;_WAR;_Wilkinson_A
